,city_ascii,state_id,state_name,lat,lng,id,url
665,Maple Grove,MN,Minnesota,45.1089,-93.4626,1840008923,https://lh5.googleusercontent.com/p/AF1QipMjeOMebuRjQ59SzCJ8C9462RBBfS5oTWAO1qT_=w493-h240-k-no
666,Pittsburg,CA,California,38.0182,-121.8964,1840020282,https://lh5.googleusercontent.com/p/AF1QipO_8pwFuQhCaIJVn8ID1oAddqyecRV4jriyumO4=w408-h544-k-no
667,New Britain,CT,Connecticut,41.6758,-72.7862,1840004774,https://lh5.googleusercontent.com/p/AF1QipPnOe237t6-H4qvlQQ7fT1HVtYZyf9Usuk4tIVy=w408-h306-k-no
668,Morgantown,WV,West Virginia,39.638000000000005,-79.9468,1840005647,https://lh5.googleusercontent.com/p/AF1QipNEjEzkKDRJhpuiHCbcGAyEg0fJCGy2M1QObJBi=w408-h306-k-no
669,Mansfield,TX,Texas,32.569,-97.1211,1840020702,https://lh5.googleusercontent.com/p/AF1QipO5kZ3DkNRGaZDhqxDZ1vU1kb570-6-jXgXTv1o=w408-h244-k-no
670,Hammond,LA,Louisiana,30.5061,-90.4563,1840013908,https://lh5.googleusercontent.com/p/AF1QipP65dePCfzzlwCPRWI7bAHdsbtvEcOsm1cxBIhW=w408-h306-k-no
671,Dothan,AL,Alabama,31.2335,-85.4069,1840001518,https://lh5.googleusercontent.com/p/AF1QipPYRaYF7S_1jo1jDNVK8CQKUXurLjlpPwcGnltR=w408-h725-k-no
672,Harrisonburg,VA,Virginia,38.4361,-78.8735,1840003844,https://lh5.googleusercontent.com/p/AF1QipNulzW2nk_wZVN-VxsKDHG3nFKfp1DzaoIuUNH5=w408-h306-k-no
673,Wenatchee,WA,Washington,47.4356,-120.3283,1840021074,https://lh5.googleusercontent.com/p/AF1QipOh841RBJ6DIZVrqUtgzYfJ5WXxtdFy5tAwfr_s=w480-h240-k-no
674,Waukesha,WI,Wisconsin,43.0087,-88.2464,1840003008,https://lh5.googleusercontent.com/p/AF1QipNOwYh_bdtw6YU4_M9xVwCEEQeUQmq2MW4gKmSy=w426-h240-k-no
675,Pawtucket,RI,Rhode Island,41.8744,-71.3743,1840003285,https://lh5.googleusercontent.com/p/AF1QipMUqy8lZKBCZlbLclWtxR2TRe_rQvuvGx2XAxgL=w408-h544-k-no
676,Redmond,WA,Washington,47.6762,-122.1169,1840019835,https://lh5.googleusercontent.com/p/AF1QipN2qeZMuw-SlrOqQCOLMuIJXoKc0zs_6E0cyjjN=w408-h544-k-no
677,Lauderhill,FL,Florida,26.1605,-80.2242,1840015146,https://lh5.googleusercontent.com/p/AF1QipPytxQR6D4G_mI58G9SjkdkmghhE9hRQf_Mz-7b=w408-h725-k-no
678,Sumter,SC,South Carolina,33.9392,-80.393,1840015612,https://lh5.googleusercontent.com/p/AF1QipM2hw9dPk9EWfO9PjUGTucnUQBTIyrGJaxQrAkD=w408-h544-k-no
679,Redlands,CA,California,34.0511,-117.1712,1840020412,https://lh5.googleusercontent.com/p/AF1QipNw0JVm581-icQEZ_PbtpRKmyxjEqWLO33GdPY9=w408-h582-k-no
680,Daphne,AL,Alabama,30.6286,-87.8866,1840006178,https://lh5.googleusercontent.com/p/AF1QipMU6M041a_x8ORsJdULTw4WIyTqPHTPgzmMJ0vY=w426-h240-k-no
681,Mount Vernon,WA,Washington,48.4202,-122.3115,1840019774,https://lh5.googleusercontent.com/p/AF1QipM9OjF56i0UFiGdRHJ2rmj8ZuKqVy0WDYb4L0XF=w408-h544-k-no
